nftype,speed,carga,heat,ch,wind,slope,fch,fp,fv,HROS,BROS,FROS
1,1.1328,0.684,3928,0,0,0,109.34599606631076,1.0,1.0,247.73428868783367,247.73428868783367,247.73428868783367
1,1.1328,0.684,3928,0,0,5,109.34599606631076,1.12000625,1.0,262.59912017875587,262.59912017875587,262.59912017875587
1,1.1328,0.684,3928,0,0,10,109.34599606631076,1.246805,1.0,278.3053192476341,278.3053192476341,278.3053192476341
1,1.1328,0.684,3928,0,0,15,109.34599606631076,1.3803962499999998,1.0,294.8528858944683,294.8528858944683,294.8528858944683
1,1.1328,0.684,3928,0,0,20,109.34599606631076,1.52078,1.0,312.2418201192587,312.2418201192587,312.2418201192587
1,1.1328,0.684,3928,0,0,25,109.34599606631076,1.66795625,1.0,330.47212192200504,330.47212192200504,330.47212192200504
1,1.1328,0.684,3928,0,0,30,109.34599606631076,1.821925,1.0,349.5437913027075,349.5437913027075,349.5437913027075
1,1.1328,0.684,3928,0,0,35,109.34599606631076,1.9826862499999998,1.0,369.45682826136596,369.45682826136596,369.45682826136596
1,1.1328,0.684,3928,0,0,40,109.34599606631076,2.15024,1.0,390.2112327979806,390.2112327979806,390.2112327979806
1,1.1328,0.684,3928,0,0,45,109.34599606631076,2.32458625,1.0,411.8070049125512,411.8070049125512,411.8070049125512
1,1.1328,0.684,3928,0,0,50,109.34599606631076,2.505725,1.0,434.24414460507785,434.24414460507785,434.24414460507785
1,1.1328,0.684,3928,0,0,55,109.34599606631076,2.6936562499999996,1.0,457.52265187556054,457.52265187556054,457.52265187556054
1,1.1328,0.684,3928,0,0,60,109.34599606631076,2.8883799999999997,1.0,481.6425267239993,481.6425267239993,481.6425267239993
1,1.1328,0.684,3928,0,5,0,109.34599606631076,1.0,3.382125,542.8013099080866,0.00019732651846766938,0.32727525526114826
1,1.1328,0.684,3928,0,5,5,109.34599606631076,1.12000625,3.382125,557.6661413990087,0.00020273038428775906,0.3362378193371805
1,1.1328,0.684,3928,0,5,10,109.34599606631076,1.246805,3.382125,573.3723404678869,0.00020844011549888436,0.34570767546247233
1,1.1328,0.684,3928,0,5,15,109.34599606631076,1.3803962499999998,3.382125,589.9199071147212,0.0002144557121010452,0.35568482363702375
1,1.1328,0.684,3928,0,5,20,109.34599606631076,1.52078,3.382125,607.3088413395116,0.00022077717409424156,0.36616926386083465
1,1.1328,0.684,3928,0,5,25,109.34599606631076,1.66795625,3.382125,625.5391431422579,0.00022740450147847347,0.37716099613390497
1,1.1328,0.684,3928,0,5,30,109.34599606631076,1.821925,3.382125,644.6108125229604,0.00023433769425374097,0.3886600204562348
1,1.1328,0.684,3928,0,5,35,109.34599606631076,1.9826862499999998,3.382125,664.5238494816189,0.00024157675242004396,0.40066633682782427
1,1.1328,0.684,3928,0,5,40,109.34599606631076,2.15024,3.382125,685.2782540182335,0.00024912167597738256,0.41317994524867324
1,1.1328,0.684,3928,0,5,45,109.34599606631076,2.32458625,3.382125,706.874026132804,0.00025697246492575664,0.4262008457187817
1,1.1328,0.684,3928,0,5,50,109.34599606631076,2.505725,3.382125,729.3111658253308,0.00026512911926516633,0.4397290382381497
1,1.1328,0.684,3928,0,5,55,109.34599606631076,2.6936562499999996,3.382125,752.5896730958134,0.00027359163899561147,0.4537645228067771
1,1.1328,0.684,3928,0,5,60,109.34599606631076,2.8883799999999997,3.382125,776.7095479442522,0.0002823600241170923,0.4683072994246641
1,1.1328,0.684,3928,0,10,0,109.34599606631076,1.0,5.406699999999999,793.5796336681718,1.7419092376420635e-09,0.001175726744709536
1,1.1328,0.684,3928,0,10,5,109.34599606631076,1.12000625,5.406699999999999,808.4444651590941,1.7745375791360906e-09,0.0011977497140474634
1,1.1328,0.684,3928,0,10,10,109.34599606631076,1.246805,5.406699999999999,824.1506642279722,1.8090127245223995e-09,0.0012210192102890133
1,1.1328,0.684,3928,0,10,15,109.34599606631076,1.3803962499999998,5.406699999999999,840.6982308748064,1.8453346738009907e-09,0.001245535233434186
1,1.1328,0.684,3928,0,10,20,109.34599606631076,1.52078,5.406699999999999,858.0871650995969,1.8835034269718644e-09,0.0012712977834829814
1,1.1328,0.684,3928,0,10,25,109.34599606631076,1.66795625,5.406699999999999,876.3174669023432,1.9235189840350193e-09,0.0012983068604353993
1,1.1328,0.684,3928,0,10,30,109.34599606631076,1.821925,5.406699999999999,895.3891362830457,1.965381344990457e-09,0.0013265624642914402
1,1.1328,0.684,3928,0,10,35,109.34599606631076,1.9826862499999998,5.406699999999999,915.3021732417042,2.0090905098381767e-09,0.0013560645950511036
1,1.1328,0.684,3928,0,10,40,109.34599606631076,2.15024,5.406699999999999,936.0565777783188,2.0546464785781784e-09,0.00138681325271439
1,1.1328,0.684,3928,0,10,45,109.34599606631076,2.32458625,5.406699999999999,957.6523498928893,2.102049251210462e-09,0.0014188084372812988
1,1.1328,0.684,3928,0,10,50,109.34599606631076,2.505725,5.406699999999999,980.089489585416,2.1512988277350283e-09,0.0014520501487518302
1,1.1328,0.684,3928,0,10,55,109.34599606631076,2.6936562499999996,5.406699999999999,1003.3679968558988,2.2023952081518764e-09,0.0014865383871259846
1,1.1328,0.684,3928,0,10,60,109.34599606631076,2.8883799999999997,5.406699999999999,1027.4878717043375,2.255338392461006e-09,0.0015222731524037615
1,1.1328,0.684,3928,0,15,0,109.34599606631076,1.0,7.0737250000000005,1000.0692599680899,0.0,4.004617901688375e-06
