Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,15.608513871828112,19.46222261889034,25.85267598623953,235,90.5,64,535,16.943923985940256,99,44.25563144849373
JCB,2001-10-16 14:00,0.0,15.25455286050466,17.78694818251666,35.90628211751922,235,91.2,64,535,31.07320154085042,99,44.25563144849373
JCB,2001-10-16 15:00,0.0,8.506226714116856,30.146719606499722,42.934493459568,235,91.8,64,535,48.21561779019763,99,44.25563144849373
JCB,2001-10-16 16:00,0.0,15.691410266964377,20.118436868028976,35.91315045773247,270,92.3,64,535,36.32640994571587,99,44.25563144849373
JCB,2001-10-16 17:00,0.0,13.438130939582644,25.027858583825893,41.57430843464567,270,92.9,64,535,52.57199557529665,99,44.25563144849373
JCB,2001-10-16 18:00,0.0,13.492412729626837,34.95174982577999,45.21286045538379,235,92.3,64,535,58.041449985962885,99,44.25563144849373
JCB,2001-10-16 19:00,0.0,19.797912189890692,20.39616952153571,26.49004556515829,235,91.7,64,535,20.75687457719454,99,44.25563144849373
JCB,2001-10-16 20:00,0.0,18.053130059095515,19.711279176152114,40.007985977165376,235,90.3,64,535,33.60237630097405,99,44.25563144849373
