Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,16.50710501790858,16.830817108689956,21.34019227767321,235,90.5,64,535,13.49778028485086,99,38.22585231475885
JCB,2001-10-16 14:00,0.0,16.436545962638387,18.31181987800975,27.460330644014398,235,91.2,64,535,20.302707797272873,99,38.22585231475885
JCB,2001-10-16 15:00,0.0,15.194793953142158,23.46219672021204,35.99080888250191,235,91.8,64,535,33.98063227291833,99,38.22585231475885
JCB,2001-10-16 16:00,0.0,12.316427728068442,25.235788145526683,43.8613402387014,270,92.3,64,535,54.22024195422285,99,38.22585231475885
JCB,2001-10-16 17:00,0.0,12.885908126346882,34.43954363580249,46.598202928043776,270,92.9,64,535,67.71702449682279,99,38.22585231475885
JCB,2001-10-16 18:00,0.0,11.719556989573249,39.88256349229203,44.60895969959319,235,92.3,64,535,56.301819420347016,99,38.22585231475885
JCB,2001-10-16 19:00,0.0,17.992042234088878,19.75028818578499,18.261595999831016,235,91.7,64,535,13.711651188709713,99,38.22585231475885
JCB,2001-10-16 20:00,0.0,13.664890938139342,19.503066842306655,24.391198119762997,235,90.3,64,535,15.297154758023565,99,38.22585231475885
