Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,17.31546987655281,17.967037922244685,25.415947877591528,235,89.79033422063048,64,535,14.973913369118742,99,40.88471915580992
JCB,2001-10-16 14:00,0.0,18.382785308592506,20.137390947131113,27.396819709428406,235,89.75963902276344,64,535,16.473040222001252,99,40.88471915580992
JCB,2001-10-16 15:00,0.0,15.014495023870072,21.392104361498085,38.1540036601722,235,89.59119420592451,64,535,27.64994015983687,99,40.88471915580992
JCB,2001-10-16 16:00,0.0,14.462075870979062,17.83332919893979,38.410949898658,270,89.72219591939293,64,535,28.54148299231916,99,40.88471915580992
JCB,2001-10-16 17:00,0.0,14.83954862674248,26.22959950318866,37.54655189451536,270,89.38962415237928,64,535,26.051993832686897,99,40.88471915580992
JCB,2001-10-16 18:00,0.0,13.309193152102408,33.76828618868426,46.7339558523755,235,89.08427030579219,64,535,39.61544242052969,99,40.88471915580992
JCB,2001-10-16 19:00,0.0,15.008151029509198,24.863074756328302,45.52042452314254,235,89.46783926977828,64,535,39.37460070487806,99,40.88471915580992
JCB,2001-10-16 20:00,0.0,7.448067947431919,37.787330665959566,45.25473130416726,235,89.04132079358658,64,535,36.54393028058303,99,40.88471915580992
