FType,HFactor,FFactor,BFactor,EFactor
1,1.623,1.243,1.023,2.479
2,2.462,0.955,1.388,2.425
3,2.289,0.996,1.188,1.93
4,1.158,1.138,0.287,49.111
7,1.018,1.068,1.05,3.17
40,0.987,0.962,0.95,1.004
11,0.263,2.569,0.825,1.625
31,2.066,1.675,0.269,10.82
