125020,125021,8,12.4108,0
125021,125022,17,12.4108,0
125022,125023,26,12.4108,0
125023,125024,35,12.4108,0
125024,125025,44,12.4108,0
125025,125026,53,12.4108,0
125026,125027,62,12.4108,0
125027,125028,71,12.4108,0
125028,125029,80,12.4108,0
125029,125030,89,12.4108,0
125030,125031,98,12.4108,0
125031,125032,107,12.4108,0
125032,125033,116,12.4108,0
125033,125034,125,12.4108,0
125034,125035,134,12.4108,0
125035,125036,143,12.4108,0
125036,125037,152,12.4108,0
125037,125038,161,12.4108,0
125038,125039,170,12.4108,0
125039,125040,179,12.4108,0
125040,125041,188,12.4108,0
125041,125042,197,12.4108,0
125042,125043,206,12.4108,0
125043,125044,215,12.4108,0
125044,125045,224,12.4108,0
125045,125046,233,12.4108,0
125046,125047,242,12.4108,0
125047,125048,251,12.4108,0
125048,125049,260,12.4108,0
125049,125050,269,12.4108,0
125050,125051,278,12.4108,0
125051,125052,287,12.4108,0
125052,125053,296,12.4108,0
