num,nftype,ws,wd,slope,mc1,mc10,mc100,mcHerb,mcWoody,Load_1h,Load_10h,Load_100h,Load_Live_Herb,Load_Live_Woody,SA/V_1h,SA/V_Live_Herb,SA/V_Live_Woody,Fuel_Bed_Depth,Mx_dead,HROS,FROS,BROS
588,101,10,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,19.17,2.779289599,0.402944741
592,101,10,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,19.35,2.792538814,0.403011526
596,101,10,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,19.58,2.81029125,0.40335735
600,101,10,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,19.86,2.829867288,0.403230054
604,101,10,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,20.19,2.853682095,0.403343313
608,101,10,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,20.58,2.882973919,0.40386485
612,101,10,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,21.01,2.912189461,0.403657661
616,101,10,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,21.49,2.946386782,0.403964405
620,101,10,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,22.03,2.982879004,0.403884119
624,101,10,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,22.62,3.023899983,0.404242754
628,101,10,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,23.25,3.064075294,0.403808921
632,101,10,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,23.94,3.109669434,0.40392832
636,101,10,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,24.68,3.157841941,0.404050475
640,101,10,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,25.47,3.207092329,0.403825725
644,101,10,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,26.32,3.259713864,0.403713316
864,101,15,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,35.32,3.758791943,0.400014634
868,101,15,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,35.34,3.759663054,0.399973579
872,101,15,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,35.42,3.763141775,0.399809035
876,101,15,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,35.55,3.77065934,0.399940137
880,101,15,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,35.72,3.778616157,0.399718367
884,101,15,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,35.95,3.790348813,0.399631269
888,101,15,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,36.23,3.803492295,0.399297644
892,101,15,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,36.57,3.821542295,0.399348797
