number,value,datetime_start,datetime_complete,duration,params_BFactor,params_EFactor,params_FFactor,params_HFactor,params_fperiod,state
0,0.8510552419199806,2025-04-10 13:43:37.741004,2025-04-10 13:43:57.525997,0 days 00:00:19.784993,1.4144928114227167,0.8913974509676528,1.072043463257404,1.1635677692944189,1,COMPLETE
1,0.936050689520442,2025-04-10 13:43:57.528141,2025-04-10 13:44:06.289350,0 days 00:00:08.761209,1.427474645879956,0.7080125810506972,1.0603390293570438,1.1281923655945665,2,COMPLETE
2,0.934424918095319,2025-04-10 13:44:06.291639,2025-04-10 13:44:15.798288,0 days 00:00:09.506649,1.4260200926425033,0.7235871011280532,1.0179814738439152,1.0629601766967685,2,COMPLETE
3,0.9348378604292485,2025-04-10 13:44:15.800436,2025-04-10 13:44:23.972116,0 days 00:00:08.171680,1.3561991072842605,0.7036507409440123,1.186395448801165,1.1919600146179565,2,COMPLETE
4,0.9095087371065762,2025-04-10 13:44:23.975654,2025-04-10 13:44:34.515625,0 days 00:00:10.539971,1.3443511317192138,0.8386733768880462,1.152253871361593,1.1712637186002575,2,COMPLETE
5,0.9122686383516292,2025-04-10 13:44:34.517714,2025-04-10 13:44:46.711960,0 days 00:00:12.194246,1.3173049646961876,0.8151330926584568,1.0701102175506336,1.168435357541503,2,COMPLETE
6,0.9195766005667764,2025-04-10 13:44:46.715117,2025-04-10 13:44:58.420680,0 days 00:00:11.705563,1.3476683497147743,0.7787550673205893,1.0679569444713557,1.1754725272367974,2,COMPLETE
7,0.9359691375300843,2025-04-10 13:44:58.423082,2025-04-10 13:45:08.050825,0 days 00:00:09.627743,1.3888901432800258,0.7033918587902259,1.135061467596778,1.1265200290882782,2,COMPLETE
8,0.9163927086125494,2025-04-10 13:45:08.053256,2025-04-10 13:45:24.345057,0 days 00:00:16.291801,1.4635674400186047,0.7709761149069074,1.1520512703723147,1.0936504413176005,1,COMPLETE
9,0.9072708786898879,2025-04-10 13:45:24.347735,2025-04-10 13:45:40.797692,0 days 00:00:16.449957,1.4074786268493007,0.8468826597391534,1.041600467387307,1.0383897472416634,1,COMPLETE
10,0.9279741715690715,2025-04-10 13:45:40.799909,2025-04-10 13:45:58.211305,0 days 00:00:17.411396,1.4771724568685984,0.7480170638937996,1.0937518840498304,1.0099528024885664,1,COMPLETE
11,0.9360502882545416,2025-04-10 13:45:58.213794,2025-04-10 13:46:07.292981,0 days 00:00:09.079187,1.4473111465573767,0.7005722218115623,1.1336020628948864,1.1255768465027836,2,COMPLETE
12,0.9352778752446376,2025-04-10 13:46:07.295706,2025-04-10 13:46:16.526365,0 days 00:00:09.230659,1.4442914027122826,0.7434726711163673,1.1172272766204805,1.1240840211955494,2,COMPLETE
13,0.9361719405491633,2025-04-10 13:46:16.529474,2025-04-10 13:46:25.810286,0 days 00:00:09.280812,1.4878983229120786,0.7363621490445009,1.002437132304199,1.122992403753093,2,COMPLETE
14,0.9367268098846864,2025-04-10 13:46:25.812666,2025-04-10 13:46:34.148705,0 days 00:00:08.336039,1.4972666623523803,0.7424844067074774,1.0116562031362246,1.0905631939562845,2,COMPLETE
15,0.9364667600305128,2025-04-10 13:46:34.157066,2025-04-10 13:46:44.175759,0 days 00:00:10.018693,1.4962886452993494,0.7492728857331251,1.0040263352567673,1.0944647259002798,2,COMPLETE
16,0.9351192254063192,2025-04-10 13:46:44.178661,2025-04-10 13:46:51.771211,0 days 00:00:07.592550,1.4900984536011468,0.7773583797516237,1.0336737675482033,1.0811997519863807,2,COMPLETE
17,0.9290855926956318,2025-04-10 13:46:51.772839,2025-04-10 13:46:59.492223,0 days 00:00:07.719384,1.4965166364830111,0.7566374277890202,1.0002299477481686,1.0540925289078145,1,COMPLETE
18,0.9381352915345285,2025-04-10 13:46:59.496458,2025-04-10 13:47:03.564539,0 days 00:00:04.068081,1.4636640236583867,0.793583889229467,1.0302594430908938,1.0986630832523214,2,COMPLETE
19,0.9369044749470261,2025-04-10 13:47:03.567122,2025-04-10 13:47:07.081599,0 days 00:00:03.514477,1.45983087479386,0.8068017504364992,1.037568132740991,1.0686526977812913,2,COMPLETE
20,0.9284971507140621,2025-04-10 13:47:07.083067,2025-04-10 13:47:13.551053,0 days 00:00:06.467986,1.3822779551877706,0.8110548772148722,1.042716871799004,1.0128090382859847,1,COMPLETE
21,0.935855413952656,2025-04-10 13:47:13.552674,2025-04-10 13:47:17.233674,0 days 00:00:03.681000,1.4634923461417106,0.7954874414540821,1.0292713758128849,1.0711032782746284,2,COMPLETE
22,0.9381352915345285,2025-04-10 13:47:17.235224,2025-04-10 13:47:20.858350,0 days 00:00:03.623126,1.4639553274518742,0.8325725992176175,1.0519729358235153,1.0466220713458831,2,COMPLETE
23,0.9381352915345285,2025-04-10 13:47:20.859981,2025-04-10 13:47:25.029328,0 days 00:00:04.169347,1.4499179084487874,0.8382098914460451,1.0909523065193496,1.0400530802411554,2,COMPLETE
24,0.9397284608870166,2025-04-10 13:47:25.031026,2025-04-10 13:47:28.912906,0 days 00:00:03.881880,1.4412414360535584,0.8469144447505116,1.0950741646285795,1.0344194771246022,2,COMPLETE
25,0.9454601372732012,2025-04-10 13:47:28.914513,2025-04-10 13:47:32.654413,0 days 00:00:03.739900,1.4326072272651547,0.8628750046996096,1.055729047095236,1.0272963189627904,2,COMPLETE
26,0.942879076914446,2025-04-10 13:47:32.656380,2025-04-10 13:47:36.623506,0 days 00:00:03.967126,1.425509412316184,0.8680758695687467,1.0841107316491114,1.025612874358749,2,COMPLETE
27,0.9420695902304153,2025-04-10 13:47:36.625515,2025-04-10 13:47:40.969967,0 days 00:00:04.344452,1.4255608333602954,0.8752873568153536,1.1068215384585756,1.0212755125868918,2,COMPLETE
28,0.9364159460286656,2025-04-10 13:47:40.972503,2025-04-10 13:47:45.272436,0 days 00:00:04.299933,1.3934121381721232,0.8815209690165929,1.10850520239229,1.0241658497675374,2,COMPLETE
29,0.8953060656955042,2025-04-10 13:47:45.273930,2025-04-10 13:47:52.370054,0 days 00:00:07.096124,1.4220649448092717,0.8981195111915922,1.0818967724442936,1.0015895348830113,1,COMPLETE
30,0.942879076914446,2025-04-10 13:47:52.371827,2025-04-10 13:47:56.300907,0 days 00:00:03.929080,1.4100384185417378,0.8772828343095673,1.079277287379126,1.0147743537159875,2,COMPLETE
31,0.9390247714247881,2025-04-10 13:47:56.302672,2025-04-10 13:48:00.397545,0 days 00:00:04.094873,1.4042262783935888,0.8788641782025508,1.0805763944052698,1.025111400997126,2,COMPLETE
32,0.9454601372732012,2025-04-10 13:48:00.399243,2025-04-10 13:48:04.153765,0 days 00:00:03.754522,1.4180886747817856,0.8673027669948705,1.1119131821694959,1.0220301567273022,2,COMPLETE
33,0.9376162890766766,2025-04-10 13:48:04.155691,2025-04-10 13:48:07.596596,0 days 00:00:03.440905,1.374869924812741,0.863314436517487,1.0568876986177629,1.003774291968636,2,COMPLETE
34,0.9250521130568926,2025-04-10 13:48:07.598188,2025-04-10 13:48:11.333251,0 days 00:00:03.735063,1.4131796973230837,0.8628057237144529,1.1214148333497242,1.056759484517661,2,COMPLETE
35,0.945359734284698,2025-04-10 13:48:11.334891,2025-04-10 13:48:14.704807,0 days 00:00:03.369916,1.4339725277330113,0.8610954213362138,1.0800022146905484,1.0284952560857783,2,COMPLETE
36,0.9436568244822354,2025-04-10 13:48:14.706318,2025-04-10 13:48:18.223191,0 days 00:00:03.516873,1.4347394410189778,0.8621619799153674,1.1999347172879362,1.030745418715256,2,COMPLETE
37,0.9369743938225672,2025-04-10 13:48:18.234626,2025-04-10 13:48:22.136434,0 days 00:00:03.901808,1.4345062937153785,0.8234807711471431,1.1895538842414044,1.0481284412291585,2,COMPLETE
38,0.9101192707824544,2025-04-10 13:48:22.138086,2025-04-10 13:48:25.962133,0 days 00:00:03.824047,1.3668255117316912,0.8514288302749476,1.1757888729538508,1.144360553986024,2,COMPLETE
